Plate;Well;StainA
pl01_2;A01;172440
pl01_2;B01;179232
pl01_2;C01;191472
pl01_2;D01;188656
pl01_2;E01;30424
pl01_2;F01;34992
pl01_2;G01;30336
pl01_2;H01;179120
pl01_2;A02;197072
pl01_2;B02;216904
pl01_2;C02;218400
pl01_2;D02;216736
pl01_2;E02;209856
pl01_2;F02;186440
pl01_2;G02;229872
pl01_2;H02;183624
pl01_2;A03;213696
pl01_2;B03;254736
pl01_2;C03;247496
pl01_2;D03;266960
pl01_2;E03;259416
pl01_2;F03;261904
pl01_2;G03;237560
pl01_2;H03;188272
pl01_2;A04;231168
pl01_2;B04;252072
pl01_2;C04;247344
pl01_2;D04;254528
pl01_2;E04;274312
pl01_2;F04;235240
pl01_2;G04;201328
pl01_2;H04;210256
pl01_2;A05;238648
pl01_2;B05;248752
pl01_2;C05;279568
pl01_2;D05;246288
pl01_2;E05;234264
pl01_2;F05;185720
pl01_2;G05;225544
pl01_2;H05;200272
pl01_2;A06;227504
pl01_2;B06;244872
pl01_2;C06;289472
pl01_2;D06;277592
pl01_2;E06;136024
pl01_2;F06;239152
pl01_2;G06;267480
pl01_2;H06;162464
pl01_2;A07;229744
pl01_2;B07;235360
pl01_2;C07;158112
pl01_2;D07;255760
pl01_2;E07;266136
pl01_2;F07;263560
pl01_2;G07;250456
pl01_2;H07;179872
pl01_2;A08;212040
pl01_2;B08;257104
pl01_2;C08;267312
pl01_2;D08;270752
pl01_2;E08;245192
pl01_2;F08;219272
pl01_2;G08;254296
pl01_2;H08;168240
pl01_2;A09;230944
pl01_2;B09;252200
pl01_2;C09;259456
pl01_2;D09;235136
pl01_2;E09;251544
pl01_2;F09;270912
pl01_2;G09;159168
pl01_2;H09;204256
pl01_2;A10;228040
pl01_2;B10;220832
pl01_2;C10;245776
pl01_2;D10;252864
pl01_2;E10;241392
pl01_2;F10;236992
pl01_2;G10;194624
pl01_2;H10;205128
pl01_2;A11;190672
pl01_2;B11;186320
pl01_2;C11;204680
pl01_2;D11;240056
pl01_2;E11;255584
pl01_2;F11;205104
pl01_2;G11;162784
pl01_2;H11;181048
pl01_2;A12;190736
pl01_2;B12;29784
pl01_2;C12;32432
pl01_2;D12;31136
pl01_2;E12;203104
pl01_2;F12;218264
pl01_2;G12;186232
pl01_2;H12;178480
