Plate;Well;StainA
pl02_2;A01;184704
pl02_2;B01;210320
pl02_2;C01;206536
pl02_2;D01;236264
pl02_2;E01;27128
pl02_2;F01;48792
pl02_2;G01;51480
pl02_2;H01;196208
pl02_2;A02;221256
pl02_2;B02;243864
pl02_2;C02;223984
pl02_2;D02;234752
pl02_2;E02;236984
pl02_2;F02;201664
pl02_2;G02;195768
pl02_2;H02;207944
pl02_2;A03;239680
pl02_2;B03;238496
pl02_2;C03;232280
pl02_2;D03;239312
pl02_2;E03;288512
pl02_2;F03;298896
pl02_2;G03;274496
pl02_2;H03;203928
pl02_2;A04;251840
pl02_2;B04;271344
pl02_2;C04;262256
pl02_2;D04;287888
pl02_2;E04;284200
pl02_2;F04;248344
pl02_2;G04;250024
pl02_2;H04;220976
pl02_2;A05;242080
pl02_2;B05;225712
pl02_2;C05;288896
pl02_2;D05;270008
pl02_2;E05;287104
pl02_2;F05;269736
pl02_2;G05;214008
pl02_2;H05;252384
pl02_2;A06;251784
pl02_2;B06;295808
pl02_2;C06;249480
pl02_2;D06;299328
pl02_2;E06;299088
pl02_2;F06;275224
pl02_2;G06;298000
pl02_2;H06;190864
pl02_2;A07;268384
pl02_2;B07;292264
pl02_2;C07;287704
pl02_2;D07;300544
pl02_2;E07;304888
pl02_2;F07;293472
pl02_2;G07;267608
pl02_2;H07;224840
pl02_2;A08;255536
pl02_2;B08;291240
pl02_2;C08;290872
pl02_2;D08;258904
pl02_2;E08;287984
pl02_2;F08;264544
pl02_2;G08;140176
pl02_2;H08;224832
pl02_2;A09;258024
pl02_2;B09;260808
pl02_2;C09;266288
pl02_2;D09;247744
pl02_2;E09;279784
pl02_2;F09;294504
pl02_2;G09;268680
pl02_2;H09;197840
pl02_2;A10;243264
pl02_2;B10;272704
pl02_2;C10;264680
pl02_2;D10;264168
pl02_2;E10;309480
pl02_2;F10;264744
pl02_2;G10;259944
pl02_2;H10;244136
pl02_2;A11;228320
pl02_2;B11;262512
pl02_2;C11;198920
pl02_2;D11;242600
pl02_2;E11;289608
pl02_2;F11;291008
pl02_2;G11;243688
pl02_2;H11;213528
pl02_2;A12;211976
pl02_2;B12;31584
pl02_2;C12;36336
pl02_2;D12;70840
pl02_2;E12;271048
pl02_2;F12;248032
pl02_2;G12;226624
pl02_2;H12;217488
