Plate;Well;StainA
pl02_1;A01;200120
pl02_1;B01;211952
pl02_1;C01;240120
pl02_1;D01;239776
pl02_1;E01;48800
pl02_1;F01;47312
pl02_1;G01;48632
pl02_1;H01;215096
pl02_1;A02;216392
pl02_1;B02;245832
pl02_1;C02;238432
pl02_1;D02;230256
pl02_1;E02;240352
pl02_1;F02;198432
pl02_1;G02;221672
pl02_1;H02;205456
pl02_1;A03;250536
pl02_1;B03;248864
pl02_1;C03;271376
pl02_1;D03;246512
pl02_1;E03;260936
pl02_1;F03;271256
pl02_1;G03;270640
pl02_1;H03;218296
pl02_1;A04;247440
pl02_1;B04;275584
pl02_1;C04;292184
pl02_1;D04;274936
pl02_1;E04;299488
pl02_1;F04;249560
pl02_1;G04;249568
pl02_1;H04;229816
pl02_1;A05;251824
pl02_1;B05;263320
pl02_1;C05;282808
pl02_1;D05;274920
pl02_1;E05;273904
pl02_1;F05;276656
pl02_1;G05;222784
pl02_1;H05;265832
pl02_1;A06;260024
pl02_1;B06;295856
pl02_1;C06;289104
pl02_1;D06;283312
pl02_1;E06;311616
pl02_1;F06;258480
pl02_1;G06;300088
pl02_1;H06;224432
pl02_1;A07;262624
pl02_1;B07;292176
pl02_1;C07;290792
pl02_1;D07;297288
pl02_1;E07;302768
pl02_1;F07;293232
pl02_1;G07;265304
pl02_1;H07;232296
pl02_1;A08;265048
pl02_1;B08;260432
pl02_1;C08;294016
pl02_1;D08;240264
pl02_1;E08;284624
pl02_1;F08;252936
pl02_1;G08;145328
pl02_1;H08;229312
pl02_1;A09;261640
pl02_1;B09;239120
pl02_1;C09;244560
pl02_1;D09;257704
pl02_1;E09;279512
pl02_1;F09;276248
pl02_1;G09;295184
pl02_1;H09;216672
pl02_1;A10;248824
pl02_1;B10;270008
pl02_1;C10;261904
pl02_1;D10;267368
pl02_1;E10;282096
pl02_1;F10;253056
pl02_1;G10;257680
pl02_1;H10;218840
pl02_1;A11;231368
pl02_1;B11;256768
pl02_1;C11;224792
pl02_1;D11;256224
pl02_1;E11;268688
pl02_1;F11;276280
pl02_1;G11;241904
pl02_1;H11;200192
pl02_1;A12;205200
pl02_1;B12;43736
pl02_1;C12;35800
pl02_1;D12;44104
pl02_1;E12;236496
pl02_1;F12;238144
pl02_1;G12;207960
pl02_1;H12;195448
